repo_name,stars,forks,issues,license_type,num_files,num_python_files
rom1504/img2dataset,2180,242,120,Permissive,38,22
ymcui/Chinese-LLaMA-Alpaca-2,4817,364,259,Permissive,58,40
roboflow/supervision,6669,484,188,Permissive,94,63
rinongal/textual_inversion,2627,290,144,Permissive,77,37
IDEA-Research/GroundingDINO,3425,353,199,Permissive,45,34
soxoj/maigret,7900,539,589,Permissive,82,37
lukas-blecher/LaTeX-OCR,6140,529,137,Permissive,79,35
rom1504/clip-retrieval,1519,149,107,Permissive,54,35
addi00000/empyrean,8490,402,319,Permissive,24,14
BlinkDL/RWKV-LM,9746,613,152,Permissive,64,46
matterport/Mask_RCNN,2691,1084,176,Permissive,11,10
THUDM/GLM-130B,7150,556,179,Permissive,84,25
python-lsp/python-lsp-server,966,114,147,Permissive,84,68
ymcui/Chinese-LLaMA-Alpaca,14833,1516,659,Permissive,80,18
lucidrains/audiolm-pytorch,1951,217,140,Permissive,16,14
gboeing/osmnx,946,136,107,Permissive,72,30
Z4nzu/hackingtool,29828,2931,138,Permissive,42,31
karpathy/nanoGPT,25087,3582,218,Permissive,19,15
pdfminer/pdfminer.six,1487,188,122,Permissive,94,57
thuml/Autoformer,1207,274,145,Permissive,53,19
google/lightweight_mmm,603,129,139,Permissive,46,32
facebookresearch/demucs,4052,411,202,Permissive,89,41
sanchit-gandhi/whisper-jax,3480,306,135,Permissive,18,13
albumentations-team/albumentations,3030,351,197,Permissive,74,52
jsvine/pdfplumber,2181,188,120,Permissive,49,33
lmcinnes/umap,1130,158,129,Permissive,95,43
jaywalnut310/vits,4979,672,116,Permissive,27,17
TheR1D/shell_gpt,6291,505,174,Permissive,35,24
danielgatis/rembg,9313,1019,235,Permissive,41,26
QwenLM/Qwen-VL,1759,125,151,no license file was found,54,20
sammchardy/python-binance,1252,476,153,Permissive,41,15
yaronzz/Tidal-Media-Downloader,1160,161,143,Permissive,51,38
tencent-ailab/IP-Adapter,1834,110,114,Permissive,16,14
MouseLand/cellpose,507,164,275,Permissive,64,37
